NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Skābētu kāpostu sula 250ml,30.1,0.2,0,4.2,0.3,1.4,1.6,4.76,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_277275_PCE_LV",Dzērieni,1.19
"Gāzēts dzēriens Mežezers mohito 0,75L",39.7,0,0,9.7,9.7,0,0,4.52,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1371990_PCE_LV",Dzērieni,3.39
Nektārs Tymbark apelsīnu 1l,46.8,0,0,11,11,0,0,2.55,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_156550_PCE_LV",Dzērieni,2.55
Nektārs Rimi persiku 50% 1l,47.6,0.1,0,11,11,0.1,0.1,1.79,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_801008_PCE_LV",Dzērieni,1.79
Gāzēts bezalkoholisks dzēriens ar citronu-laima garšu 1.5l,36.6,0,0,9,9,0,0,1.13,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1355561_PCE_LV",Dzērieni,1.69
"Dzēriens Mangaļi Active Isotonic spēka negāzēts 0,75l",20.3,0,0,5,5,0,0,1.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1358033_PCE_LV",Dzērieni,1.49
Cido Sarkanie Apelsīni Dzēriens (Prisma),40.6,0,0,10,10,0,0,2.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_165843_PCE_LV",Dzērieni,2.69
"Sīrups Hortus cidoniju 0,7l",210.6,0,0,36,0,0.3,0,8.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_165837_PCE_LV",Dzērieni,5.99
"Gāzēts dzēriens Coca Cola Zero ar saldinātāju 0,5l",0.2,0,0,0,0,0,1,2.7,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1353151_PCE_LV",Dzērieni,1.35
Kombuča dzīvības dzēr.Tradicionālā 330ml,31.8,0,7.9,0,0,0,0,9.06,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_174243_PCE_LV",Dzērieni,2.99
"Bezalkoholiskais alus Corona Cero 0,0% 0,33l",17.0,0,0,3.9,0.7,0.4,0,5.42,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1374112_PCE_LV",Dzērieni,1.79
Nektārs Rimi ananasu 1l,50.4,0.1,0,12,12,0.1,0,1.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803420_PCE_LV",Dzērieni,1.96
Apelsīnu sula Selection by Rimi 500ml,38.7,0,0,8.5,8.5,0.7,0,5.98,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_924304_PCE_LV",Dzērieni,2.99
Nektārs Cido persiku 1l,44.7,0,0,11,11,0,0,2.15,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_100651_PCE_LV",Dzērieni,2.15
"Gāzēts dzēriens Fanta 0,33l",42.8,0,0,10.3,10.3,0,0,3.0,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1354572_PCE_LV",Dzērieni,0.99
Nektārs Gutta Max multiaugļu 2l,44.2,0,0,10.5,0,0.4,0,1.7,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_108220_PCE_LV",Dzērieni,3.39
"Dzeramais ūdens Vitafruit aprikožu jasmīna 1,5l",17.9,0,0,4.5,4.5,0,0,1.08,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1365283_PCE_LV",Dzērieni,1.65
"Dzeramais ūdens Rimi ar ābolu garšu, negāzēts 1,5l",19.8,0,0,4.5,4.5,0,0,0.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1360017_PCE_LV",Dzērieni,1.35
Gāzēts dzēriens Fanta 2l,42.8,0,0,10.3,10.3,0,0,1.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_1352600_PCE_LV",Dzērieni,2.99
Sula Cido dārzeņu 1l,23.4,0,0,5,5,0.7,0.7,2.15,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_100650_PCE_LV",Dzērieni,2.15
