NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Fermentēts sojas produkts Alpro Greek ar mango garšu 400g,83.7,3,0.5,8.2,8.1,5.2,0.3,7.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_987588_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
Pelmeņi Vici Gyoza ar dārzeņiem 400g,147.2,1.9,0.2,26,1.9,5.1,1.2,10.37,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_297078_PCE_LV",Produkti vegāniem un veģitāriešiem,4.15
"Augu izcelsmes gatavošanas baze, 250 ml",143.4,13,1.6,5.8,3.6,0.9,0.1,7.56,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_930031_PCE_LV",Produkti vegāniem un veģitāriešiem,1.89
Auzu dzēriens Oatly bioloģisks 1L,37.5,0.5,0.1,6.7,4.1,1,0.1,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_993125_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
Auzu dzēriens Oddlygood ar karameļu garšu bez glutēna UHT 1l,63.8,3,0.3,8,5,1.2,0.2,3.79,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003639_PCE_LV",Produkti vegāniem un veģitāriešiem,3.79
Rīsu kokosriekstu dzēriens The Bridge BIO 1l,70.3,1.8,1.6,13,4.6,0.1,0.1,3.29,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_912257_PCE_LV",Produkti vegāniem un veģitāriešiem,3.29
Sojas deserts Alpro karameļu 125g,87.2,1.8,0.3,14,10.9,3.2,0.1,6.8,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_913181_PCE_LV",Produkti vegāniem un veģitāriešiem,0.85
Tofu ICA 230g,140.1,7.8,1.3,0.6,0.5,15,0.5,16.48,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_813698_PCE_LV",Produkti vegāniem un veģitāriešiem,3.79
Veg. tofu smēriņš ar jūraszālēm Patifu Veto 100g,198.1,17.2,1.3,5.2,0.3,2.8,1.1,21.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4000772_PCE_LV",Produkti vegāniem un veģitāriešiem,2.19
Sojas majonēze Sojalita 30% 350ml,282.0,30,2.1,5.1,1.8,2.6,1,5.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_281060_PCE_LV",Produkti vegāniem un veģitāriešiem,1.99
Dārzeņu pelmeņi Veggy Crush mini BIO 400g,202.9,0.8,0.1,41.9,1,6.3,1,10.72,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_965896_PCE_LV",Produkti vegāniem un veģitāriešiem,4.29
Zirņu proteīna dzēriens Sproud Barista 1l,42.1,3,0.3,1.8,1.8,2,0.2,4.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_973743_PCE_LV",Produkti vegāniem un veģitāriešiem,4.69
Krēmveida produkts Planton creamo kokosriekstu piena ēdiena gatavošanai un cepšanai 15% 200g,158.9,15,14,4.9,0.5,1,0,11.25,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_983425_PCE_LV",Produkti vegāniem un veģitāriešiem,2.25
Vegāniskā pastēte Patifu Delikates 100g,239.0,22.8,1.6,3.8,0.1,4.6,1,20.9,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_984516_PCE_LV",Produkti vegāniem un veģitāriešiem,2.09
Sojas dzēriens Alpro Plant Protein ar šokolādes garšu 1l,69.6,2.8,0.6,5.3,5,5,0.2,2.59,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003972_PCE_LV",Produkti vegāniem un veģitāriešiem,2.59
Desa vegāniem kūpināta 200g,224.9,17.5,1,7.5,5,5,1,18.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_959580_PCE_LV",Produkti vegāniem un veģitāriešiem,3.69
Sojas produkts Yosoi  ar mellenēm 250g,76.2,1.5,0.2,12,11,3.1,0,8.2,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_916390_PCE_LV",Produkti vegāniem un veģitāriešiem,2.05
"Augu izcelsmes produkts Viči pirkstiņi ar zivju garšu, vegānisks 230g",248.1,13,1.4,19.6,2.7,11,1.5,13.0,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003915_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
Auzu dzēriens Barista Yook BIO 1l,57.8,3,0.3,7,1,1,0.1,2.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004087_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
Sojas dzēriens Valsoia light 1l,33.0,1.1,0.1,3.3,3,2.1,0.2,2.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_916400_PCE_LV",Produkti vegāniem un veģitāriešiem,2.95
"Augu izcelsmes raudzēta gatavošanas baze ar pievienotu kalciju, 200 ml",143.4,13,1.6,5.8,3.6,0.9,0.1,14.95,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_930018_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
Auzu bāzes produkts Oatly 150g,231.8,20,8,9.9,3.6,3.2,0.7,24.6,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_930066_PCE_LV",Produkti vegāniem un veģitāriešiem,3.69
"Sojas produkts Alpro ar zemeņu garšu, fermentēts, vegānisks 400g",68.4,2.1,0.4,8.1,7.9,3.6,0.2,7.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4000128_PCE_LV",Produkti vegāniem un veģitāriešiem,2.99
"Auzu dzēriens Yook Vitamins and calcium, vegānisks 1l",45.7,1.5,0.2,7,1,1,0.1,2.79,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4000843_PCE_LV",Produkti vegāniem un veģitāriešiem,2.79
Vegānisks deserts Valsoia ar ķiršu gabaliņiem 2x125g,77.0,1.5,0.2,13,11,3.1,0,8.36,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004297_PCE_LV",Produkti vegāniem un veģitāriešiem,2.09
