NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Brētliņu filejas ar garšvielām 100g,158.9,11,3,2.6,2.6,12.5,4.2,28.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_943264_PCE_LV",Gaļas produkti,2.85
Makreles plētne ar sieru karsti kūpināta kg,282.7,24.2,5.7,0.6,0.6,16.3,1.5,14.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_967597_KGM_LV",Gaļas produkti,14.49
Cepta siļķu fileja želejā 220g/90g,234.0,15.2,1.7,5.8,1.2,18.4,1,27.67,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_930873_PCE_LV",Gaļas produkti,2.49
Girasoli Selection by Rimi ar lasi 250g,272.2,13,4.2,26,1.7,12,1.5,14.76,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812953_PCE_LV",Gaļas produkti,3.69
Kakla karbonāde saulgriežu marinādē 250g,240.2,18.7,5.6,0.8,0.5,17.6,1.6,11.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_2000243_PCE_LV",Gaļas produkti,2.99
Salaka vītināta Oniors zivis 60g,102.1,4.5,1,0,0,15.4,3.2,46.5,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_981484_PCE_LV",Gaļas produkti,2.79
Salami Ēd garšīgi 400g,261.0,21.2,7.2,2.3,0.2,15.3,2,7.47,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_974146_PCE_LV",Gaļas produkti,2.99
Liellopa gaļa ar dārzeņiem RGK sterilizēti konservi 325g,95.4,5.4,2.4,6.8,2.7,4.9,1.2,7.66,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_919973_PCE_LV",Gaļas produkti,2.49
Vīnes šnicele 250g,202.9,8.5,3,13.5,0.2,17.9,1.2,11.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_2000205_PCE_LV",Gaļas produkti,2.99
Cūkgaļas šašliks sinepēs ar majonēzi kg,200.8,14.4,2.8,1,0.7,17.1,1,7.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_2000225_KGM_LV",Gaļas produkti,7.99
